Media,ag_cover,Site,Date,Weight,Sample ID,Alachlor,Anthraquinone,Atrazine,Bifenthrin,Biphenyl,Carfentrazone ethyl,Chlorobenzilate,cis-Captafol,Diazinon,Diphenylamine,DMF,Malathion,Metalaxyl,Metolachlor,o-Hydroxybiphenyl,Penconazole,Procymidone,Pyriproxyfen,Terbacil,Terbuthylazine,Tetrahydrophthalimide,Vinclozoline,Dinotefuran,Nitenpyram,Thiamethoxam,Clothianidin,Imidacloprid,Acetamiprid,Thiacloprid
FP,high,HR,527,2.02,FP 84,0.012254902,0.013,0.025,,0.025,0.1,0.025,,0.012,0.099,0.025,,,0.012,0.013,0.013,0.025,0.025,0.389,0.063,1.262,,0.029,0.311,0.057,7.52,4.81,0.047,1.489
DBT,high,HR,429,1.1453,DBT 4,,0.154,0.104,0.138,1.353,0.586,0.9,0.937,,0.393,48.415,0.035,0.404,0.045,0.393,0.04,0.9,0.329,3.448,,20.475,0.397,0.161,0.228,1.844,5.958,0.067,0.55,0.185
DBT,high,HR,502,1.3909,DBT 14,,0.154,0.104,0.138,0.863,0.586,0.9,13.373,,4.134,48.242,0.288,0.404,0.359,1.797,0.04,0.9,0.329,3.448,,14.415,0.397,0.161,0.228,1.844,5.958,0.067,4.89,7.042
DBT,high,HR,505,1.2918,DBT 24,,0.154,1.239,0.138,0.89,0.586,0.9,12.192,,2.051,150.294,0.035,0.404,7.586,1.084,0.04,0.9,0.329,3.448,,25.623,0.397,0.161,9.996,12.317,5.958,0.067,0.55,0.185
DBT,high,HR,508,1.2393,DBT 34,,0.154,38.167,0.138,0.968,0.586,0.9,61.123,,2.219,94.973,0.035,0.404,2.784,1.049,0.04,0.9,0.329,3.448,,0.792,0.397,0.161,0.228,1.844,5.958,0.067,0.55,0.185
DBT,high,HR,511,1.3345,DBT 44,,0.154,0.104,0.138,0.599,0.586,0.9,0.937,,1.124,42.713,0.035,0.404,0.749,1.087,0.04,0.9,0.329,3.448,,5.17,0.397,0.161,119.104,1.844,5.958,0.067,0.55,0.185
DBT,high,HR,514,1.386,DBT 54,,0.154,0.104,0.138,1.299,0.586,0.9,83.442,,2.597,329.365,0.035,0.404,0.045,0.289,0.04,11.4,0.329,3.448,,0.792,0.397,0.161,0.228,1.844,5.958,0.067,0.55,0.185
DBT,high,HR,519,1.1031,DBT 64,,0.154,0.104,0.138,2.266,0.586,0.9,0.937,,2.13,497.371,0.035,0.404,0.045,0.907,2.856,16.68,0.329,3.448,,24.34,2.856,0.161,0.228,1.844,5.958,0.067,0.55,0.185
DBT,high,HR,523,1.364,DBT 73,,0.154,0.104,0.138,1.173,0.586,0.9,18.695,,2.896,349.084,0.035,0.404,0.045,0.071,0.04,0.9,13.343,3.448,,0.792,0.397,0.161,0.228,1.844,5.958,0.067,0.55,0.185
DBT,high,HR,527,0.9722,DBT 84,,0.154,0.104,0.138,1.234,0.586,0.9,0.937,,2.469,131.043,0.035,1.183,0.045,0.669,0.04,9.823,0.329,3.448,,22.526,0.397,0.161,0.228,1.844,955.586,0.067,0.55,0.185
DBT,high,HR,603,1.1375,DBT 94,,0.308,0.104,0.138,0.791,0.586,0.9,0.937,,0.703,9.934,0.035,0.404,0.045,0.071,0.04,0.9,0.329,3.448,,16.44,0.397,0.161,0.228,1.844,5.958,0.067,0.55,4.644
IHNB,high,HR,428,1,IH NB 87,0.307,,0.304,,0.439,0.273,0.238,,,0.681,14.228,0.242,0.464,0.21,0.176,0.132,,,0.464,0.322,0.835,0.445,0.995,37.731,5.475,144.585,0.837,0.36,2.23
IHNB,high,HR,505,2,IH NB 94,0.06,,0.608,,0.397,0.273,0.238,,,0.327,11.054,0.164,0.464,0.421,0.117,0.066,,,0.464,0.322,0.835,0.445,0.995,20.361,5.475,3.07,0.837,0.36,0.303
IHNB,high,HR,512,3,IH NB 101,0.06,,0.304,,0.547,0.547,0.476,,,0.048,10.273,0.035,1.831,0.21,0.452,0.166,,,0.464,0.322,0.835,0.445,5.172,15.187,29.306,3.07,0.837,2.092,0.303
IHNB,high,HR,520,4,IH NB 108,0.06,,0.304,,0.439,0.273,0.238,,,0.048,18.206,0.035,0.464,0.21,0.122,0.066,,,0.464,0.322,0.835,0.445,0.787,3.849,5.475,16.25,0.837,0.36,1.133
IHL,high,HR,428,1.2673,IH L 59,0.321,,,,0.039,,,,,13.967,9.074,1.381,5.997,,0.631,,,,,0.519,,0.9,0.042,0.123,0.058,1.024,0.137,0.199,1.84
IHL,high,HR,505,0.7703,IH L 66,2.337,,,,0.065,,,,,10.061,23.238,2.077,5.388,,0.974,,,,,1.039,,1.817,0.042,0.123,0.204,1.702,0.137,0.11,0.709
IHL,high,HR,512,0.754,IH L 73,3.647,,,,0.597,,,,,9.748,21.751,1.326,3.117,,1.061,,,,,0.519,,0.9,0.042,0.123,0.451,1.024,0.137,0.11,0.546
IHL,high,HR,520,1.8189,IH L 80,2.227,,,,0.055,,,,,7.807,14.679,1.402,3.464,,1.402,,,,,0.519,,0.9,0.042,0.123,0.058,1.024,0.137,0.217,0.031
IHBB,high,HR,428,2.6,IH BB 3,0.067,,0.089,0.04,0.129,,,1.546,0.184,0.857,5.357,0.193,,0.18,0.015,,,,,,0.615,,0.388,0.355,0.558,0.998,0.302,0.351,0.041
IHBB,high,HR,505,2,IH BB 10,0.279,,5.941,0.04,0.13,,,11.192,0.184,2.235,2.533,0.186,,3.278,0.149,,,,,,1.229,,1.539,0.355,0.558,19.949,54.041,0.124,0.041
IHBB,high,HR,512,1.9,IH BB 17,0.067,,9.485,0.04,0.162,,,4.454,0.184,2.585,1.985,0.115,,1.962,0.092,,,,,,2.238,,0.104,0.355,8.369,52.396,3.144,0.124,0.041
IHBB,high,HR,520,3,IH BB 24,0.067,,3.523,0.04,0.087,,,6.873,0.184,1.74,13.572,0.196,,0.652,0.087,,,,,,21.337,,1.302,2.834,1.331,5.981,4.126,2.218,0.041
IHH,high,HR,428,5.1,IH H 31,,,0.016,,0.112,,,,,0.037,3.316,0.028,,0.023,0.008,,,,,,0.41,,0.082,0.171,0.047,0.373,0.14,0.061,0.061
IHH,high,HR,505,4.98,IH H 38,,,0.317,,0.138,,,,,0.041,1.692,0.033,,0.122,0.008,,,,,,0.93,,0.082,0.171,0.344,0.373,0.167,0.089,0.046
